Contract,Minijob,Minijob,TZ,TZ
Vehicle,Bicicleta,Masina,Bicicleta,Masina
City,,,,
Aachen,1,0,0,1
Aschaffenburg,0,0,1,4
Augsburg,6,12,5,40
Berlin,30,19,44,68
Bielefeld,5,3,7,13
Bochum,0,0,1,10
Bonn,0,2,1,0
Cologne,0,2,0,4
Dortmund,0,0,1,5
Duisburg,0,0,2,3
Dusseldorf,0,2,3,15
Erlangen,1,1,2,1
Essen,0,1,0,10
Frankfurt am Main,5,21,10,82
Freiburg im Breisgau,3,4,2,6
Fuerth,4,9,0,11
Gelsenkirchen,0,1,4,7
Guetersloh,1,1,0,0
Hagen,0,2,1,5
Hamburg,3,3,4,16
Hamm,0,0,2,1
Hanau,2,8,3,9
Hannover,0,2,1,2
Harburg,1,1,2,1
Heidelberg,1,4,5,11
Heilbronn,0,5,0,6
Herne,0,0,1,2
Ingolstadt,1,3,0,8
Iserlohn,0,0,0,1
Karlsruhe,6,6,2,11
Kassel,0,1,0,0
Krefeld,0,0,1,1
Leipzig,1,1,8,8
Ludwigsburg,0,1,0,4
Luebeck,0,0,0,4
Mainz,0,3,0,7
Mannheim,0,2,2,2
Moers,0,0,0,1
Munich,13,28,4,78
Neuss,0,1,1,9
Nuremberg,7,10,4,11
Oberhausen,0,0,2,6
Offenbach,6,13,22,65
Osnabrueck,3,3,0,2
Paderborn,0,2,0,2
Pforzheim,0,0,1,2
Potsdam,11,12,31,58
Regensburg,0,2,0,2
Reutlingen,0,0,2,2
Saarbruecken,0,1,0,0
Siegen,1,0,0,0
Sindelfingen,0,1,0,2
Stuttgart,0,2,2,8
Trier,1,1,1,3
Troisdorf,0,2,0,0
Ulm,4,8,9,19
Wiesbaden,2,7,0,9
Worms,2,4,0,2
